25;Centre de PONTAULT-COMBAULT;45;Avenue des Marguerites;Pontault-Combault;77340;01 60 28 33 33;ad77.pontault@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Pontault-Combault.;Aide alimentaire;true
26;Centre de PROVINS;47;Rue des Prés de la Comtesse;Provins;77160;01 60 52 03 85;ad77.provins@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Provins.;Aide alimentaire, emploi, accès à la culture;false
27;Centre de ROISSY-EN-BRIE;;Rue Georges Pompidou;Roissy-en-Brie;77680;01 60 28 21 96;ad77.roissyenbrie@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Roissy-en-Brie.;Aide alimentaire, emploi, accès aux droits;false
28;Centre de SAINT-MARD;6;Rue Curie;Saint-Mard;77230;01 64 02 86 17;ad77.saintmard@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Saint-Mard.;Aide alimentaire, accès à la culture;true
29;Centre de SAVIGNY-LE-TEMPLE;2;Rue de Savigny;Savigny-le-Temple;77176;09 65 26 05 72;ad77.savigny@restosduoeur.org;OPEN;Centre des Restos du Cœur situé à Savigny-le-Temple.;Aide alimentaire;false
30;Centre de TORCY;8;Rue Gerard Philipe;Torcy;77200;01 60 06 46 83;ad77.torcy@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Torcy.;Aide alimentaire, emploi, accès aux droits;false
31;Centre de TOURNAN-EN-BRIE;3;Rue Georges Clémenceau;Tournan-en-Brie;77220;01 64 06 43 68;ad77.tournan@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Tournan-en-Brie.;Aide alimentaire, emploi, accès à la culture;true
32;Centre de VERT-SAINT-DENIS;;Rue de Pouilly;Vert-Saint-Denis;77240;01 60 63 35 49;ad77.vertsaintdenis@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Vert-Saint-Denis.;Aide alimentaire, emploi, ateliers de français;false
33;Centre de VILLEPARISIS;9;Ruelle de la Place;Villeparisis;77270;01 64 67 85 27;ad77.villeparisis@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Villeparisis.;Aide alimentaire;false
34;Siège départemental;1015;Rue du Maréchal Juin;Vaux-le-Pénil;77000;01 64 39 42 11;ad77.siege@restosducoeur.org;OPEN;Siège de l'Association Départementale des Restos du Cœur de Seine-et-Marne.;Administration, aide alimentaire, accompagnement;true
35;Car du Coeur;;Boulevard Chamblain;Melun;77000;01 64 39 42 11;ad77.siege@restosducoeur.org;OPEN;Dispositif mobile des Restos du Cœur intervenant à Melun.;Aide alimentaire itinérante;true
36;Camion itinérant;;;Égreville;77620;;ad77.nemours@s-centres-itinerantes@restosducoeur.org;OPEN;Dispositif itinérant des Restos du Cœur intervenant dans le secteur d'Égreville.;Aide alimentaire itinérante;true
